source,target,weight
Lal Chowk,Assassination,1
Lalchowk,Bombing/Explosion,1
Lalgarh,Armed Assault,2
Lalgarh,Bombing/Explosion,3
Lalgarh,Facility/Infrastructure Attack,5
Lalgarh,Hostage Taking (Kidnapping),2
Lalgarh,Unknown,2
Lalpora,Bombing/Explosion,1
Lalpura,Bombing/Explosion,1
Langting Hathikhali,Armed Assault,1
Lapri,Bombing/Explosion,1
Larnu,Armed Assault,1
Lasana,Bombing/Explosion,2
Lasjan,Bombing/Explosion,1
Lassana,Bombing/Explosion,1
Latehar,Armed Assault,3
Latehar,Bombing/Explosion,7
Latehar,Facility/Infrastructure Attack,4
Latehar,Hijacking,1
Latehar,Hostage Taking (Kidnapping),3
Latehar,Unknown,2
Latina,Unknown,1
Laxmipur,Armed Assault,1
Laxmipur Diara,Armed Assault,1
Lazbal,Bombing/Explosion,1
Lengdenpokse,Armed Assault,1
Lohardaga,Bombing/Explosion,1
Lohardaga,Hostage Taking (Kidnapping),1
Lokchao,Armed Assault,1
Lolab,Bombing/Explosion,1
Longlai Hasnu,Armed Assault,1
Lower Mata,Bombing/Explosion,1
Lucknow,Bombing/Explosion,2
Luddar,Hostage Taking (Kidnapping),1
Ludhiana,Armed Assault,1
Ludhiana,Bombing/Explosion,1
Lurgam,Armed Assault,1
Machilipatnam,Bombing/Explosion,1
Madhepura,Unarmed Assault,1
Madhopur,Bombing/Explosion,1
Madimalla,Assassination,1
Magam,Armed Assault,1
Magam,Assassination,1
Magam,Bombing/Explosion,2
Mahadev,Bombing/Explosion,1
Maheshpur,Armed Assault,1
Mahmara,Bombing/Explosion,1
Mahore Tehsil,Hostage Taking (Kidnapping),1
Mahur,Bombing/Explosion,1
Maibong,Armed Assault,1
Majra Bambal,Armed Assault,1
Majuli Bargora,Armed Assault,1
Makri Jhoda,Armed Assault,1
Makum,Bombing/Explosion,1
Malachamlan,Armed Assault,1
Maladhara,Bombing/Explosion,1
Malegaon,Bombing/Explosion,2
Malikpora,Armed Assault,1
Malkangiri,Armed Assault,10
Malkangiri,Bombing/Explosion,13
Malkangiri,Facility/Infrastructure Attack,9
Malkangiri,Hijacking,1
Malkangiri,Hostage Taking (Kidnapping),2
Malkangiri,Unknown,3
Malwani,Armed Assault,1
Manasbal,Bombing/Explosion,1
